FILE	h_201
ESC_AA7748AA.fasta	9
ESC_AA7760AA.fasta	4
ESC_AA7768AA.fasta	6
ESC_AA7771AA.fasta	4
ESC_AA7781AA.fasta	1
ESC_AA7786AA.fasta	1
ESC_AA7804AA.fasta	7
ESC_AA7829AA.fasta	1
ESC_AA7838AA.fasta	13
ESC_AA7848AA.fasta	6
ESC_AA7851AA.fasta	8
ESC_AA7859AA.fasta	6
ESC_AA7870AA.fasta	4
ESC_AA7880AA.fasta	2
ESC_AA7885AA.fasta	8
ESC_AA7891AA.fasta	4
ESC_AA7905AA.fasta	2
ESC_AA7925AA.fasta	18
ESC_AA7965AA.fasta	2
ESC_AA7973AA.fasta	4
ESC_AA7977AA.fasta	4
ESC_AA7982AA.fasta	1
ESC_AA7986AA.fasta	1
ESC_AA7995AA.fasta	1
ESC_AA7998AA.fasta	1
ESC_AA8042AA.fasta	2
ESC_AA8053AA.fasta	2
ESC_AA8063AA.fasta	2
ESC_AA8070AA.fasta	4
ESC_AA8071AA.fasta	5
ESC_AA8080AA.fasta	4
ESC_AA8083AA.fasta	75
ESC_AA8110AA.fasta	2
ESC_AA8117AA.fasta	5
ESC_AA8237AA.fasta	7
ESC_AA8255AA.fasta	1
ESC_AA8259AA.fasta	1
ESC_AA8268AA.fasta	12
ESC_AA8274AA.fasta	12
ESC_AA8292AA.fasta	2
ESC_AA8296AA.fasta	2
ESC_AA8315AA.fasta	5
ESC_AA8339AA.fasta	5
ESC_AA8356AA.fasta	13
ESC_AA8374AA.fasta	2
ESC_AA8376AA.fasta	2
ESC_AA8384AA.fasta	2
ESC_AA8400AA.fasta	2
ESC_AA8402AA.fasta	2
ESC_AA8412AA.fasta	2
ESC_AA8423AA.fasta	2
ESC_AA8425AA.fasta	2
ESC_AA8426AA.fasta	4
ESC_AA8429AA.fasta	2
ESC_AA8501AA.fasta	2
ESC_AA8523AA.fasta	13
ESC_AA8563AA.fasta	2
ESC_AA8578AA.fasta	4
ESC_AA8585AA.fasta	5
ESC_AA8656AA.fasta	6
ESC_AA8658AA.fasta	6
ESC_AA8660AA.fasta	6
ESC_AA8667AA.fasta	2
